classificacao,sentimento_manual,comentario,justificativa
1,1,Her smooth vocals and heartfelt lyrics hit every time ❤,Expresses strong positive emotions and appreciation for the song.
1,1,Gives me that 90s Vibe 💯 THANK YOU SZA,Expresses strong positive feelings and appreciation for the song’s nostalgic sound.
1,1,"I love SZA she is just a vibe period. Her voice is amazing!! I love her music, it is so giving.",Expresses strong affection and praise for SZA's music and voice.
1,1,I literally listen to this song about 100x a day the lyrics her voice the beat it’s just the whole package I’m addicted to this song,Expresses extreme and repetitive enjoyment of the song.
1,1,"Her voice is absolutely gorgeous. Amazing control and delivery, not to mention the flow and rhythm 🧐🤩",Expresses strong admiration for the singer's vocal abilities and style.
1,1,her songs are so catchy plus the lyrics are always fire 🔥 love sza,Expresses strong enjoyment and appreciation for SZA's music.
1,1,I love this song. I love the melody. SZA has a great voice.,Expresses strong enjoyment and praise for the song and SZA's vocals.
1,1,"This song is pure magic; it's like a warm hug and a confession of love all in one. SZA, you have a gift for capturing raw emotions. Definitely putting this on repeat!",Expresses strong positive feelings and intends to listen to the song repeatedly.
0,1,"1:48 I've been listening to this song every day lately, her voice is so amazing I can't get enough of it. ❤️Sometimes her high notes sound like an old Justin, am I the only one who thinks that?",Expresses love for the vocals while pointing out a perceived similarity to Justin Timberlake.
1,1,Driving thru Midtown Atlanta as it’s raining with the woman of my dreams listening to this. Good vibes!!,Expresses joy and positive feelings associated with a romantic experience.
1,1,im a grown ass man but this song man… i just wanna blast it driving windows down screaming the lyrics. her voice is angelic,Expresses intense enjoyment and a desire to share the song's energy.
1,1,"The slowed tempo, the dreamy riffs at the beginning & end, she turned emotions into melody, Snooze hits you right in the feels.",Expresses strong positive feelings and appreciation for the song's emotional impact.
1,1,Every one of Sza's songs have the deepest lyrics. Even with few words.,Expresses admiration for the depth of Sza's lyrics.
1,1,This song show me how strong her vocals really are everything about this song is amazing,Expresses overwhelming praise for the singer's vocal abilities and the song's overall quality.
1,1,How she moves her notes is hypnotic ❤️‍🔥,Expresses admiration and attraction to the artist's movements.
1,1,Hit those notes beautifully 🔥🔥🔥,Expresses enthusiastic praise for the singer's vocal performance.
1,1,Those outro vocals hit so hard. Like she’s succumbed to her feelings and is being washed away by them,Expresses strong enjoyment and emotional impact of the vocals.
1,1,"I’m 48 years old and all I’ve got to say is that the music SZA sings is what this world needs! Her vocals and smooth R&B sound is absolutely top notch. Please, let’s keep this amazing genre alive through eternity!",Expresses strong enthusiasm and desire to preserve the genre.
1,1,SZA is so powerful 💪🏾💯👑🌞 a power that definitely came from the most Hight🌌,Expresses admiration and respect for SZA's strength and influence.
1,1,THAT BEAT...FIRE✌️,Expresses strong enthusiasm for the song's beat.
1,1,I can’t get over the vocals in the background at 2:28 😶‍🌫️👌🎧,Expresses strong admiration for the background vocals.
0,1,"WOW after reading several comments, I must say this song brings big emotions. But it's the part about """"LOOKING GOOD UP UNDER HIM, AND HIM BEING TOO IMPORTANT"" for me. Like this is how I feel about my husband. This is definitely getting added to our Chill playlist.",Expresses a personal connection and validation while also acknowledging a potentially negative sentiment related to the lyrics.
1,1,"🎶 Wow, this beat got my heart dancing in perfect sync! 🔥 The melodies are like a musical rollercoaster taking me on an exhilarating ride. 🎢 Can't wait to jam to this and create some magic! 🎵💫",Expresses enthusiastic enjoyment and a desire to create with the music.
1,1,"Such a vibe "" beautiful voice & song ❤❤🖤🖤",Expresses strong positive feelings and appreciation.
0,1,I'm a old school head...bring real vocals back. Great job SZA!,Expresses nostalgia for classic vocals while praising SZA's work.
1,1,This Sza got the magic lyrics and that voice She keeps the hits coming .. I like her because to go for a ride and listen to this..  is the Bomb!,Expresses enthusiastic praise for Sza's talent and music.
1,1,"Omg I have this song 🎵 on repeat, just listen to all the hip hop lyrical runs and metaphors in her verses , this is ridiculous lol , her cadence is so complex and runs off the beat and on again so smooth, Sza is definitely in a lane between herself trying to sing along is getting better after 100 plays lol",Expresses strong admiration for the artist’s complex and skilled rapping ability.
1,1,I love this song so much. It's just a vibe. ❤❤,Expresses strong positive feelings and appreciation for the song.
-1,0,2:30 SZA prob hurt her vocals from doing that,Expresses concern about potential vocal damage.
1,1,I’m starting to listen to this song at a young age to help me with high notes for my voice this is only the start ❤🥲 …. SZA never stop grinding on your music keep it up and stay loving,Expresses admiration and encouragement for the artist.
1,1,This song is so amazing the vocals and pure talent its just so awesome!,Expresses strong enthusiasm and admiration for the song's quality.
1,1,Definitely a vibe 😩💕,Expresses a positive feeling and appreciation for the song's atmosphere.
1,1,I NEED TO HERE MORE OF THESE VOCALS,Expresses strong desire to hear more of the vocals.
-1,-1,This song takes u deep down under and u really be thinking too deeply into it and having regrets and missing a certain person that's in the past,Expresses feelings of regret and melancholy associated with the song's themes.
1,1,I literally love this song I have it as my ringtone it's so good like really I love this song so much I literally play all day And every day,Expresses intense love and frequent listening to the song.
1,1,2025....I'm here and Jasmine is still one of the most underrated vocalist❤️❤️❤️❤️,Expresses strong support and admiration for the artist.
1,1,"The person that record this hit, please i feel this so deep. All I can feel is love when I listen to this master piece. Thank you for this ❤❤",Expresses deep appreciation and describes the song as a 'masterpiece'.
1,1,I love the chorus and beat and it put together really well. And her voice,"Expresses strong appreciation for the chorus, beat, and vocal performance."
0,1,"She’s a Scorpio, notice she’s in the middle of nowhere over water. The emotions run deep, as Sagittarius who was in a relationship with a Scorpio, i understand and feel the same",Expresses personal interpretation and potentially biased opinion based on astrological sign.
