classificacao,comentario,justificativa,sentimento_manual
Positive,This song has no business still slapping this hard 8 months later. The second verse has me in my living room SWEATING like a maniac 😭,"The commenter expresses enthusiastic enjoyment and uses strong, positive language ('slapping this hard,' 'sweating like a maniac') indicating a positive sentiment.",
Positive,"Beyond the lyrics and disses, his flow switch up and cadence on this is absolutely crazy.",The comment expresses enthusiastic praise for the artist's rapping ability and flow.,
Positive,"The beat is saying ""Drake like children"" 😂😂😂",The commenter is expressing amusement and positive sentiment through laughter and referencing a popular meme.,
Positive,Even without the diss this beat alone deserves to be played at the superbowl,"The commenter expresses enthusiastic praise for the beat, indicating a positive sentiment.",
Positive,This song is sooooooooo good thats why i still vibe to it everyday!,"The user expresses enthusiastic enjoyment and a consistent habit of listening to the song, indicating a positive sentiment.",
Negative,"""Beat yo ass and hide the bible if god watchin"" is over the top devious.","The comment uses aggressive and disrespectful language, indicating a negative sentiment towards the music video and its message.",
Positive,"Happy 1st Anniversary to Not Like Us. I can't believe it's been a full year already for the songs release, I remember when this said 1 hour ago. Spring and Summer 2024 was peak, but Summer 2023 was better. The summer vibe and chorus goes so hard, the vibe goes hard. 1 year since this went off the charts along with Espresso by Sabrina Carpenter and Brat Summer, and many other songs during Summer 2024. I'm already nostalgic for 2024, so much good happened. This year really sucks horribly with the plane crashes, the stock markets, everything, basically. I know I shouldn't be getting nostalgic for 2024, but that was my year getting out depression from Late Summer 2023 and Fall 2023, so I do miss 2022 - 2024 a lot. This year hasn't been hitting in this crazy country and world we live in. Too many bad things are happening! I wanna go back so bad! May 4, 2024 - May 4, 2025 / May 5, 2024 - May 5, 2025.","The commenter expresses fondness and nostalgia for 2024, highlighting positive memories and a desire to return to that time.",
Positive,Kendrick is my all time favorite rapper period if that court goes through imma be the first one singing the song reading the lyrics and convos between the versus for the rest of my life legendary beef,"The commenter expresses strong enthusiasm and devotion to Kendrick Lamar, indicating a highly positive sentiment.",
Positive,"The beat saying ""oh a minor"" all through the song😂🤣☠️👌💯",The use of emojis (😂🤣👌💯) and the expression of amusement clearly indicate a positive sentiment towards the song.,
Negative,"""A minorrrrrrrrrrrrrrrrrr"" will be on Drake tombstone 💀",The excessive use of 'A minorrrrrrrrrrrrrrrrrr' combined with the reference to a tombstone suggests a darkly humorous and possibly mocking sentiment.,
Positive,Second verse the best verse omg he left this solar system ‼️‼️🔥🔥🔥,The enthusiastic emojis and exclamation points clearly indicate excitement and approval of the song's lyrics.,
Positive,"Watching the entire crowd shout a minor was a different vibe. Black history made, drake the first to get dissed at the super bowl 😅","The comment expresses a positive reaction to the crowd's enthusiasm and highlights a significant achievement for Drake, suggesting a favorable overall experience.",
Positive,Proceeds to go listen to NLU after reading lawsuit. Cuz damn them lyrics was fire.,"The commenter expresses strong positive feelings about the lyrics, using enthusiastic language like 'fire'.",
Positive,ngl this song went viral cuz of the diss but i just enjoy it purely for the beat and vibes. one yr later still a banger,"The commenter expresses enjoyment of the song despite its initial viral connection through a diss, highlighting its continued quality (",
Positive,"What I never noticed until recently, the song he samples and the particular portion of song has lyrics that says “I believe it, I believe it!”. So it’s almost as if the piano is singing “I believe it” in the background throughout the song further affirming any validity in the lyrics. I know everything’s intentional with him so I wouldn’t be surprised",The comment expresses a positive interpretation of the music video's subtle details and deliberate intent.,
Positive,"Fav part 2:12-2:40 — the vibe is righteous anger, protective anger of a father","The comment expresses a positive feeling ('righteous anger') and describes a protective sentiment, indicating enjoyment of the video's mood.",
Positive,"Not a rap fan. But Eminem the last true rapper, till I heard this from Kendrick. Lyrically this is a mastermind that destroys Drake.  He way deep into is lyrics and double meanings.  I mean 'whooo' clowing on the OWL, he a ballboy, a pedophile, multiple references, back to back, standup for PAC, called him a colonizer, called out his songs God's Plan and Family Matters, he a FAN, fake as nigger, telling people to run for their lives, Sweet Chin music (Shawn Micheals finish move on canadian Brett Heart)..JUST WOW","The commenter expresses overwhelming admiration and praise for Kendrick Lamar's lyrical skill and complex references, indicating a positive sentiment.",
Positive,"I have heard this song over and over and it's fire, but my people stay woke.....HIS MESSAGE IS POWERFUL!!!!!  1LUV #Big Meech","The commenter expresses strong enthusiasm for the song and praises its message, indicating a positive sentiment.",
Positive,If you truly understand.. this was a GREAT AND DEEP performance! Shout out to KDot!!!!!,"The commenter uses enthusiastic language ('GREAT', 'DEEP') and expresses praise for the artist.",
