classificacao,comentario,justificativa,sentimento_manual
Positive,"There is something in the feel of the music, the rhythm, the vibe of this song, is so comforting, freeing, in it's frequency that allows you to flow with it and enjoy the moment, that will carry you to the next, while you embrace the greatest gift of all .. the right here .. right now.","The commenter expresses feelings of comfort, freedom, and enjoyment, indicating a positive sentiment towards the music video.",
Positive,"The real emotional shudder in his voice sang in, this 9 to five ain’t working, we all felt that!","The comment expresses a shared, relatable feeling of frustration and connection, indicating a positive emotional response to the music video.",
Positive,I still don’t understand how Beyoncé beat this guy to a Grammy this is an absolute banger of a tune,The commenter expresses admiration for the song (,
Positive,Hey man I'm as white and southern as they come deep Louisiana and you are a legend. The violin is a nice touch also. Thanks for reviving music for a cinder of time brother,"The commenter expresses admiration and respect, using positive terms like 'legend' and 'nice touch'.",
Positive,Most catchy song ever man,The comment expresses enthusiastic approval with the phrase 'most catchy song ever' indicating a positive sentiment.,
Negative,He beats Beyonce's horrible album,The comment uses a derogatory term ('horrible') to express a negative opinion about the music video and the referenced album.,
Positive,Definitely catchy,The use of 'catchy' indicates a positive reaction to the music video.,
Positive,"I like how this song uses no vulgarity, plain old lyrics. That is fun and music to beat.",The commenter expresses enjoyment of the song's content and describes it as 'fun and music to beat' indicating a positive feeling.,
Positive,I love it even more because he's a Nigerian of origin. So Naija people apart from afrobeat can be great country singers ♥️♥️🇨🇲,"The user expresses strong positive feelings ('love it') and includes emojis of affection, indicating a favorable sentiment.",
Positive,It was my groomsmen walk out song. Felt like it represented all the times I drank with them lol. Just good vibes and good drinks 🍻🍻🍺,"The commenter expresses enjoyment and positive memories associated with the song and their friends, indicating a happy sentiment.",
Positive,"""To the one reading this, though our lives may never intertwine, I send you my deepest wishes for happiness, growth, and fulfillment. May your journey be filled with endless possibilities, and may you always find the courage to chase your dreams. May life surround you with love, and may luck be your constant companion, lighting your way through every challenge.""","The comment expresses sincere wishes for happiness and success, indicating a positive sentiment.",
Positive,Feeling the vibe🎉❤❤❤🎉🎉🎉1st best singer,The comment expresses enthusiasm and positive emotions through emojis and praise for the singer.,
Positive,I love this song. It's upbeat . Here from the Southwest.,The commenter expresses clear enthusiasm with the phrase 'I love this song' and describes it as 'upbeat'.,
Positive,We heard this song every time we got in the car when we visited Ireland this past year. Catchy tune and it takes me back to the backroads of Ireland. Love it!,"The commenter expresses positive feelings through phrases like 'catchy tune' and 'it takes me back', clearly indicating enjoyment.",
Positive,"What a fun song....great beat!!!  ""It's getting kinda late, but the ladies want some more, ""oh my!!! good LORD""  <----------Love that",The comment expresses enthusiasm with phrases like 'What a fun song' and 'Love that'.,
Positive,Such a talented young man. And so many of us senior love this catchy tune. And the artist too.❤❤❤❤❤❤❤❤❤❤,"The comment expresses admiration for the artist and enjoyment of the music, using positive language and emojis.",
Positive,"6 months sober and this song stays on repeat not because I want to or miss drinking but because this song is a banger!!! Cheers to all those enjoying this song either with Jack, John, Jim or stone cold sober!!! 🤘💪♥️!!!!!","The commenter expresses enthusiastic enjoyment of the song and celebrates its positive impact, using emojis to reinforce this sentiment.",
Positive,The Vibes to this song is The best ‼️😊🎵,The use of emojis and the phrase 'The best' clearly indicates a positive sentiment towards the music video.,
Negative,"Absolutely one of the worst songs ever made. Annoying voice, annoying sound, awful.","The comment expresses strong dissatisfaction with the song, using negative descriptors like 'worst,' 'annoying,' and 'awful'.",
Positive,This song is weirdly nostalgic for me despite coming out very recently. It just kinda feels like a song that’s always existed,The commenter expresses a positive feeling of nostalgia and a sense of timelessness about the song.,
Positive,"Great beat, fun lyrics... just an awesome song!!! ❤","The commenter expresses enthusiastic praise for the song's elements and overall quality using words like 'great,' 'awesome,' and a heart emoji.",
Positive,My mom listens to this music every day. l also like this music because it's catchy and l Love  It.❤❤❤❤❤❤❤,"The commenter expresses fondness and enthusiasm for the music, indicated by phrases like 'like this music' and 'I Love It' along with multiple heart emojis.",
Positive,I'm 53 y/o washed up punkrocker. I love this catchy song.,The commenter expresses clear enjoyment of the song using the phrase 'I love this catchy song'.,
Positive,i love the violin in the background. beautiful melody,"The commenter expresses affection for the music video, stating they 'love' it and finds it 'beautiful'.",
Positive,"Country music, relaxed vibe, simple joy and a deep, beautiful voice!","The commenter expresses enjoyment and positive qualities like 'relaxed vibe,' 'deep, beautiful voice,' and 'simple joy'.",
Positive,I love this song❤❤❤❤ perfect lyrics,The user expresses strong positive emotion with phrases like 'I love this song' and uses heart emojis indicating enjoyment.,
Negative,🗣🗣🗣🗣 I DO NOT VIBE THIS,The use of 'I DO NOT VIBE THIS' expresses clear dislike and disapproval of the music video.,
Positive,"I’m deaf with two cochlear implants. I love the beat and I understand some words. I wish this video have closed captions so I can enjoy it more. Add to this comment if anyone knows the lyrics for this song, I much appreciate it","The commenter expresses love for the beat and a desire for improved accessibility, indicating a positive experience overall.",
Positive,This song is to catchy I love it,"The commenter expresses enthusiastic enjoyment of the song, indicating a positive sentiment.",
Positive,To you reading this… enjoy today and love deeply!! ❤,The comment expresses positive wishes and encouragement with the use of heart emojis.,
Positive,Music is so powerful that it can unite the entire world. Love this one a lot.,"The commenter expresses strong positive feelings about the music video, using phrases like 'powerful' and 'love this a lot'.",
Positive,"What a great performance. Fantastic vocal, strings part fits so nice, and yellow dancer vibe👌. Perfect song for Far Cry 5.","The comment expresses enthusiastic praise for the performance, vocal, and overall vibe of the music video.",
Positive,"He’s literally just vibing - no crazy effects, no drama. Just pure energy, good vibes, and killer vocals. This is how you let the music speak for itself. Absolute legend 🔥","The comment expresses enthusiastic appreciation for the video's simplicity and quality, using positive terms like 'killer vocals' and 'good vibes' and an emoji signifying excitement.",
Positive,The melody is perfect also I’m currently 5 feet in the air on a metal swing. And his hair is awesome.,"The commenter expresses enthusiastic approval of the melody and hair, indicating a positive experience.",
Positive,This is catchy as hell,The use of 'catchy as hell' is a highly enthusiastic and positive descriptor.,
Positive,I vibe to this everytime I hear this on the car radio 🎉,The use of 'vibe' and the celebratory emoji indicate a positive emotional response to the music video.,
Positive,I think this song is so powerful !!,The exclamation and adjective 'powerful' clearly indicate a positive emotional response to the music video.,
Positive,I love this song's vibe. YOU DID AMAZING SABOOZY!!!!,The commenter expresses strong enthusiasm and praise for the artist and the song's atmosphere.,
Negative,"You need more money bro you lyrics are amazing shit needs to be billions, lol 😆","The comment expresses criticism and disbelief about the lyrics, using negative language ('amazing shit') and a dismissive tone ('needs to be billions').",
Positive,"I love how the music video is just so simple no special effects, no fancy lights","The commenter expresses enjoyment and appreciation for the video's simplicity, indicating a positive sentiment.",
Positive,"Shaboozey really nailed it with this one! A Bar Song is the perfect blend of country vibes and catchy energy. The lyrics are relatable, the beat is addictive, and it's impossible not to sing along. Easily one of the best songs of the year!","The comment expresses enthusiastic praise for the song, highlighting its positive qualities and overall enjoyment.",
Positive,Love this song! Got a good beat and it's easy to dance to.😂,The commenter expresses enthusiasm and enjoyment of the song and its danceability.,
Positive,SO CATCHY 🔥🔥,The use of fire emojis and the word 'catchy' clearly indicates a positive reaction to the music video.,
Positive,Oh my gosh. I love your music. Please make more music videos. I love all your songs. Please make a way more music. I just love all your songs. They're so catchy.😂❤❤,"The comment expresses enthusiastic admiration for the music and artist, using positive language and emojis.",
Positive,Essa música traz uma vibe tão gostosa ❤,"The commenter expresses enjoyment with 'vibe tão gostosa' (such a nice vibe), indicating a positive feeling.",
Positive,1:32 best vibe I've had in years,The commenter expresses a strong positive feeling about the 'vibe' of the music video.,
Positive,its so catchy lol,The use of 'lol' indicates amusement and enjoyment of the music video.,
Positive,I wish everyone listening to this and feeling the vibe a double on me,"The comment expresses a desire for others to share a positive experience, indicating enjoyment and approval.",
Positive,W song. So damn catchy. This shit is just a whole damn mood.,The commenter expresses strong positive feelings about the song's catchiness and how it resonates with their mood.,
Positive,Huge TEXAS VIBES🤠!..🍺🍻🍺🍻🍺🍺--🥃,"The use of emojis like 🤠, 🍺, 🍻, and 🥃 clearly indicates enthusiastic enjoyment of the music video.",
Positive,Great beat great hit i dig it thank you,The commenter expresses enthusiasm and enjoyment of the music video's beat and overall quality.,
Negative,Merkules did it better. This much autotune is awful. Sounds like migos future travis bot all togheter,"The comment expresses a critical opinion, stating that the music sounds 'awful' and comparing it unfavorably to other artists.",
Positive,"The girl in the back is a vibe, how she follows the beat is thrilling!! It gives me goosebumps",The comment expresses enthusiastic excitement and positive feelings about the music video's performance and visual elements.,
Positive,I saw the youtuber jordi make a short on this and i cant unhear the lisp in the chorus but the song is great even with the lisp,"Despite acknowledging a noticeable quirk (the lisp), the commenter ultimately expresses a positive opinion of the song itself.",
Negative,Somehow Beyoncés album beat this song for country. What’s going on?,"The comment expresses confusion and a negative assessment by suggesting Beyoncé's album was superior, implying a criticism of the song.",
Positive,this gives southern country late night vibes,The comment expresses a positive association with the music video's style and mood.,
Positive,School vibes,The comment expresses a positive association with 'school vibes'.,
Positive,"Nah, Tipsy is an absolute vibe. You can’t deny that.",The commenter uses enthusiastic language ('absolute vibe') indicating a positive feeling towards the music video.,
Positive,"This song is fire & not gunna lie, hommie on top of the truck is me af with the feelin good vibes 😂","The commenter expresses enthusiastic enjoyment using phrases like 'fire' and a laughing emoji, indicating a positive sentiment.",
Negative,Beyonce did not deserve to beat this album,"The comment expresses a critical opinion, suggesting the album was unfairly won by Beyonce.",
Positive,Love the beat❤❤❤❤,The use of heart emojis and the word 'Love' clearly indicates a positive feeling towards the music video.,
Negative,Rise Against (Faint Resemblance) should sue you for ripping off their chord progression.  You are guilt my friend….  :/,"The comment expresses strong criticism and accusations of plagiarism, indicating a negative sentiment.",
Positive,This song is so freaking catchy... It not really country but love to jam to it ridin down the rd,The commenter uses enthusiastic language like 'so freaking catchy' and expresses enjoyment ('love to jam') indicating a positive sentiment.,
Positive,i cant worry bout my problems i cant take em when im gone is a really deep line when you think about it,"The commenter expresses appreciation for a 'really deep' line, indicating a positive reaction to the music video's lyrics.",
Positive,"I'm an old white woman and this tune is so catchy. The lyrics are burning someone to the core if his soul enough to sue about the truth, lol.","The commenter expresses enjoyment of the song and uses a lighthearted, positive tone with the 'lol' at the end.",
Positive,Why is this song powerful,"The comment expresses admiration and acknowledges the song's strength, indicating a positive feeling.",
Negative,Sound heavily autotoned,"The comment expresses a critical opinion about the vocal production, indicating a negative sentiment.",
Positive,As a vocalist for a deathcore band that always had a distaste for country music….this song is a fucking JAM,The enthusiastic use of 'fucking jam' and the overall expression of enjoyment clearly indicate a positive sentiment.,
Positive,Bangin vibe,The word 'bangin'' indicates a strong positive feeling and appreciation for the music video's energy.,
Positive,Shaboozy Your dance is a tiizzzyyy too 🥰✨🕊️🤍👼🏻🪽GOD BLESSED YOU Thank You for Your song vibes up 🫶🏻❤️🌹💋🙏🏼🔊🎶💃🕺🏻,"The comment expresses enthusiastic admiration and positive emotion through emojis and words like 'tiizzzyyy,' 'blessed,' and heart emojis.",
Positive,This song is a vibe,The phrase 'a vibe' indicates a positive and enjoyable experience with the music video.,
Positive,Love this... play it daily... brilliant song... good vibes 🎉,"The commenter expresses clear enjoyment with enthusiastic phrases like 'Love this,' 'play it daily,' and 'brilliant song,' indicating a positive sentiment.",
Negative,What an awful song for the guys that need to do it and don’t have a band making millions.  What a joke,"The comment expresses strong criticism and negativity towards the song and its creators, using terms like 'awful' and 'joke'.",
Positive,It's so catchy 😁🔥🔥🔥🫢🥳🤯,"The use of emojis like 😁, 🔥, 🥳, and 🤯 clearly indicates excitement and enjoyment of the music video.",
Positive,The lyrics of this song really speak to me.,The commenter expresses a personal connection and positive feeling towards the song's lyrics.,
Positive,"Just heard this for the first time with only the vocals no music, and it changed my life omg you gotta hear it - https://youtu.be/gUuQlrGUqgw","The commenter expresses a strong, positive reaction – 'changed my life' – indicating a highly favorable experience.",
Positive,I might have to put this a my ringtone❤ 1:36,The use of the heart emoji and statement about making it a ringtone indicates a positive feeling towards the music video.,
Neutral,Man for all the annoying people with the whole Beyonce's non country song that everyone was racist if they disagreed welp here ya go. I like this dude and I listen to mainly country. It's got a great beat to it and never mind when it plays on my cars radio. But Beyonce's yeah that got old real fast. Anywho it's more pop this song or whatever but just saying it's got a good beat and don't mind at all it's playing between my other country jams. Everything isnt about race dang says Napoleon,"The comment expresses a mixed opinion, acknowledging criticism while ultimately stating a positive enjoyment of the song's beat and fit within the user's listening preferences.",
Positive,The melody is perfect I’m currently 5 feet in the air on a metal swing.,"The commenter expresses enthusiastic delight with the music and its effect, indicating a positive sentiment.",
Positive,I’m not a fan of this type of country but it’s too damn catchy!,"Despite expressing initial dislike, the comment ultimately highlights a positive aspect – the song's catchiness.",
Positive,I cant drink but i like this beat,"The commenter expresses enjoyment of the 'beat,' indicating a positive feeling.",
Neutral,Tried singing and playing this song on my ukelele. Failed horribly because I don’t know the lyrics 😂,"The comment expresses amusement and self-deprecating humor, but doesn't convey a strong positive or negative emotion.",
Positive,"Ayo ayo ayo this sang lit it so vibe we chilin' and it up so hit wouldya aight aight ballin' and it nice we cool we cool, shabouzey be jammin it ayoooo!!!",The comment expresses enthusiastic excitement and enjoyment of the music video with frequent use of positive interjections and adjectives.,
Positive,The end of that guy’s hair looks like poop😂 but I do love this song like a lot. It is my favorite song.😊 and has a great vibe to it even though it is pop and I don’t usually like pop it’s just like a country form of pop,"Despite a humorous observation, the commenter expresses strong positive feelings for the song and its vibe.",
Negative,The most annoying song.,"The comment expresses clear dissatisfaction with the song, using the word 'annoying'.",
Positive,Thank God for music speaking to the soul and telling the story we keep holding down till to late and never gets the truly deserved God speaks threw the ones that get point an im glad I live in this age I'm in an get vibe with music that is in me but not able to share it with world God bless an jelly roll and many others never know what they're power really does for underdog,"The commenter expresses gratitude and admiration for the music's impact, indicating a positive emotional response.",
Positive,shits so catchy! defeinitely a song to vibe at the bar!,The use of enthusiastic language ('so catchy!') and a relatable context (vibe at the bar) indicates a positive sentiment.,
Positive,"Good job man, the late Bobby Blue Bland sang Starting All Over Again, W/C &W chords, however......","The comment expresses appreciation with 'Good job man,' indicating a positive reaction to the video.",
Positive,Love this song its a vibe❤😊,The use of positive emojis and the phrase 'Love this song' clearly indicates a positive sentiment.,
Positive,Getting a Tracy Chapman vibe off of this. Independently super excellent song and superbly presented art. Good Job!!!,"The comment expresses strong praise and excitement about the song and its presentation, indicating a positive sentiment.",
Positive,The melody is so soothing and relaxing.,The comment expresses a positive feeling about the music's soothing and relaxing qualities.,
Neutral,"Kinda thought the video would be more lively, as catchy as the music is.","The comment expresses a slight disappointment but acknowledges the music's positive quality, indicating a mixed sentiment rather than purely negative.",
Positive,This song beats any Talor swift song,"The comment expresses a clear preference for the song over Taylor Swift's music, indicating a positive sentiment.",
Positive,"I cannot explain how much I enjoy this song.... It's such a core routine that I start my morning with this song. Seriously well done with the lyrics, the beat, your voice ! All the way thumbs up Shaboozey !","The commenter expresses strong positive feelings about the song and the artist's work, using phrases like 'enjoy' and 'seriously well done'.",
Negative,The only thing crazier than this dudes hair is the white people in the background. I think this whole generation is extremely confused about their identities lol. I get a vibe he calls black people the n word with a hard r also just cause his environment,"The comment expresses frustration and critical judgment of the artist's actions and identity, utilizing derogatory language and negative stereotypes.",
Positive,2:12 is your heartbeat vibes agree 👇,"The comment expresses agreement and appreciation, indicating a positive feeling about the music video.",
Positive,"I'm an old guy, hardcore Waylon Jennings/Merle Haggard kinda guy, and while this is much more ""pop"" country than I personally prefer, I can still dig it. As a solo acoustic performer who is old, I generally shy away from new stuff to not look like ""that old guy trying to be hip,"" but I could see adding this song to my repertoire. I'd probably have to change a few things to make it fit my style, but it's a good sound.","The commenter expresses a willingness to incorporate the song into their repertoire and finds it a 'good sound,' indicating a positive reaction.",
Positive,Imagine taking the lyrics to and old song and doing this.,The comment expresses a positive idea—reimagining a classic song—suggesting enjoyment and creativity.,
Neutral,"Catchy music, but gets boring after a while.","The comment expresses both a positive observation (catchy music) and a negative one (boring after a while), resulting in an overall mixed sentiment.",
Negative,Worst song I've heard on 98.5,The comment expresses clear dissatisfaction with the song using the phrase 'Worst song I've heard',
Positive,Why is this so dam catchy?? 🎶😁,The commenter expresses enthusiasm and delight with the song's catchiness.,
Positive,"Best country singer I’ve ever heard! ❤ the white folks got nothing left now. These boys are even beating us at our own game, which is country music.😂  love it !!!!😊","Despite a controversial and potentially offensive initial statement, the overall sentiment is positive due to enthusiastic declarations of love and admiration for the music video.",
Negative,"Just passing by. Came to say, terrible song. The worst. How can anybody enjoy this.",The comment expresses strong disapproval and a negative opinion of the song using words like 'terrible' and 'worst'.,
Positive,This is such a a great vibe song.. a great boat song!!!,The commenter expresses enthusiastic approval using words like 'great vibe' and 'great boat song' indicating a positive feeling.,
Positive,This song is pure Friday night energy—country soul with a shot of swagger. Shaboozey really brought the bar to the beat! 🥃🔥🎶,"The commenter uses enthusiastic language like 'pure Friday night energy,' 'swagger,' and emojis to express a highly positive reaction to the music video.",
Negative,"When he said ""why the hell do i work so hard"" I felt that in the deepest recesses of my soul","The comment expresses a strong, negative feeling – frustration and dissatisfaction – through the use of intense language and a personal emotional reaction.",
Positive,Did he vibes,The use of 'vibes' indicates a positive feeling about the music video.,
Positive,Boy has a vibe. He's the shit,The comment uses enthusiastic and complimentary language (,
Positive,Those opening chords are totally Wonderwall!  That's awesome!  Cool sample.,The commenter expresses enthusiastic approval and excitement about the music video's elements.,
Positive,Sick beat and throw those haters out the door like literally don’t let haters get in your way of life,"The comment expresses enthusiasm with phrases like 'sick beat' and encourages overcoming negativity, indicating a positive sentiment.",
Positive,This song is so powerfull and flat out iconic!!!,The use of enthusiastic words like 'powerfull' and 'iconic' clearly indicates a positive sentiment.,
Positive,Absolutely loving the vibes from this music—it’s just what we need to energize our day! The visuals are also incredibly beautiful. Wishing everyone watching a day full of joy and overflowing happiness. Enjoy and let the good energy lift you up!,"The comment expresses enthusiastic enjoyment and wishes for positive feelings, indicating a clearly positive sentiment.",
Negative,"I have never seen someone so unenthusiastic to make a music video. Like is he in front of a green screen? It’s obvious he’s lip-synching and he does not want to do this in by the look on his face. He doesn’t even look like he wants to sing this music Like industry plants go every way is this guy a country music, black guy industry plant because he seems so fucking unenthusiastic. He almost has a look on his face like I fucking hate singing this. This is literally one of the worst videos I’ve ever seen. You got a couple white people dancing around the background for no fucking reason he doesn’t even talk to him about going to the bar.","The comment expresses strong disapproval and frustration with the video's content and the performer's lack of enthusiasm, using emotionally charged language.",
Negative,Lots of autotune.,"The comment expresses a critical opinion about the use of autotune, indicating a negative sentiment.",
Negative,The autotune is irritating,"The comment expresses dislike and annoyance with a musical technique, indicating a negative sentiment.",
Positive,Cool beat,"The comment expresses approval of the music's rhythm, indicating a positive sentiment.",
Positive,Have this as one of my ringtone such a good song to dance out to summer vibes don't need a dance floor ❤❤,The commenter expresses enthusiastic enjoyment and uses positive language like 'good song' and 'summer vibes',
