classificacao,comentario,justificativa
Positive,i swear she put smth in that chorus its so addicting,Expresses an enthusiastic and positive reaction to the chorus.
Positive,"It’s giving mariah carey 2000s vibes with mix inspired maddona, lana del ray, charli xcx and lorde",Expresses fondness for a specific musical style and references multiple influential artists.
Positive,"This is PURE Lana del Rey, the lyrics, the video, the music style.",Expresses strong approval and identifies the video/music as authentically Lana Del Rey.
Positive,That key change on the final chorus…OMG,Expresses enthusiastic excitement about a musical element.
Positive,Lana Del Ray meets 90’s Mariah Carey vibes.,Positive comparison to iconic vocalists enhances appreciation.
Positive,There’s something so emotional about this music video. She’s so beautiful and effortless. She deserves all the success.,Expresses admiration and support for the artist.
Positive,"I love how this song has a dreamlike vibe, and then it sounds like it's ending, but then continues in a deeper tone like your slipping into an even deeper dream.",Expresses appreciation for the song's evocative and layered soundscape.
Positive,"This is perfection.  Her moves, the lyrics, the video, the nostalgia.  Nailed ❤it.","Expresses strong, enthusiastic approval and enjoyment."
Positive,This song is honestly a vibe,Expresses enjoyment and positive feelings about the song.
Positive,This beat is insane. The production is A+. Whether you like the lyrics or not,Focuses on the high quality of the production.
Positive,Did not expect to be listening to Addison Rae ever 😂 but my God this is so catchy. It’s giving me 90s pop star vibes.,Expresses enjoyment and a positive association with a nostalgic pop style.
Positive,This song totally has young nostalgia all over it. Reminds me of my early 20's. Good times good vibes,Expresses fondness and positive memories associated with the music.
Positive,I can’t help but replay this over and over. Love the melody and flow of this. It’s giving early 2000s vibes for me. I don’t know much of Addison but one thing from this video I can take is she seems so free spirited and quirky. Love that! ❤ Can’t  wait for more music from her! She has a nice voice and good taste of music!,Expresses strong enjoyment and appreciation for the song's qualities.
Neutral,This is 2010s vibe,Expresses a nostalgic reference without strong positive or negative emotion.
Negative,Jojo take notes,A dismissive and critical comment suggesting a lack of talent.
Negative,Lana del rey's  influence is all over this video and lyrics! Wtf,Expresses criticism and disbelief regarding Lana Del Rey's influence.
Positive,The chorus omfgggg fireeeee,Expresses strong enthusiasm and excitement about the chorus.
Positive,"omg the part where she has the american flag held up and then her hair blows up is my favorite shot. This video gives me classic beauty 1950s moviestar glamour vibes. Can't really describe it any other way, this song and overall production is just so... well done🤩",Expresses strong admiration for a specific visual element and evokes nostalgic beauty.
Positive,This song hits all the right notes,Expresses satisfaction and positive evaluation of the song.
Positive,"she's doing more for music than the Beatles , rolling stone ,  etc. trust me I'm 62 and I recognize music when I see it. I mean hear it. Ok send siri send",Expresses strong admiration and belief in the artist's impact.
Positive,That’s her singing this ? It’s really catchy,Expresses a positive reaction to the song's catchiness.
Negative,not enough talkng abt how insane the pitch shift towards the end is,Criticizes a specific technical aspect of the song negatively.
Positive,"I'll be honest, I had no clue who Addison Rae was.  But when I heard this, all I thought was, it's got a great hook, and it contained not only a bridge (quite rare in today's pop music) but also a key change, also rare.  And it was a downward modulation at that, which is novel.  Artistically, this was also the same moment when the video switched to color.  I'm pretty sure the creators of this video might've had some David Lynch on their mind with the oldies vibe and flash frame editing, along with some Americana.  I'm quite impressed.",Expresses admiration for the song's technical aspects and stylistic influences.
Negative,This has been one if not the worst music video I have ever seen 😅 please do better next time,Expresses strong dissatisfaction with the music video.
Positive,ADDISON I CANT STOP LISTENING ITS SO CATCHY ITS STUCK IN MY HEAD,Expresses enthusiastic enjoyment and repeated listening.
Positive,"Other than the masterpiece video, the song gives me such a nostalgic feeling of being 21 and super in love, it’s so bittersweet I love it.","Expresses fondness and evokes strong, positive memories."
Neutral,Does anyone know any songs like this? the ethereal sort of sound? Not the lyrics but the genre,Asks a question about musical style without expressing personal opinion.
Neutral,I want to hate it but… it’s catchy.,Expresses a conflicted feeling – wanting to dislike but admitting to its catchiness.
Positive,Definitely Lana del Rey vibes,Expresses a positive association with Lana Del Rey's style.
Neutral,This song gives Gossip Girl vibes(especially Chuck Blair),"Comparison to a popular show, without strong positive or negative emotion."
Positive,The four shots after 1:05 has a visual rhythm I'm obsessed with,Expresses intense fascination and enjoyment of a specific musical element.
Positive,haters can hate all they want but no one can deny Addison putting is out some solid fun catchy bops.,Defends Addison's music and claims it's enjoyable.
Positive,"Song of the year, vibe of the year, so proud of you baby 💖",Expresses strong pride and affection for the artist.
Positive,It gives a nostalgic chill vibe like those days of watching the rain from the window as a kid,Evokes a pleasant and comforting feeling associated with childhood memories.
Positive,she's bringing us back to that 2014 tumblr teen vibes with a rio de janeiro filter on during the summer in los angeles,Evokes nostalgic and positive feelings associated with a specific era and aesthetic.
Positive,This song and video gave me marilyn and lana vibes,"Compares the song and video to the iconic Marilyn Monroe and Lana Del Rey, indicating appreciation."
Positive,The producer/ producers did a great job with the beat especially at the intro. Love it.,"Expresses appreciation for the beat, particularly the intro."
Positive,it feels so nostalgic ....,Expresses a fondness and longing associated with the music.
Positive,Cassie vibes!,"The comment explicitly references Cassie's music, indicating a positive association."
Neutral,I came here after hearing tates “purple lace bra” chorus. Definitely sound similar,Acknowledges similarity to another song without expressing strong positive or negative feelings.
Neutral,"Why does this song give me ""Diet Mountain Dew"", by Lana del Rey vibes?😭","Compares the song to another, referencing a specific association."
Neutral,I loved the song but i didnt expected the mv to be like this😂 its kinda cringe and seem like its made for the OF subscribing mens but still loving the mv its super vibe song for me,Expresses a mixed reaction – enjoying the song but finding the music video awkward.
Neutral,"Until I just now read the lyrics, I always thought that she said, ""My lips reflect off of his COSTCO chain"", lol😂. Apparently, she says, ""CROSS GOLD chain"". I think that my way is better, (cuz it's like, funnier, lol).",A humorous observation about a lyrical misinterpretation.
Neutral,"Anyone else getting ""heatwave"" vibes","References another song, indicating a similarity without strong positive or negative emotion."
Positive,"""In the backseat"" is my favorite part her vocals are amazing.",Expresses strong positive feelings about the song and its vocals.
Negative,She remembers me of national anthem chemitrails over the country club vibes,Expresses a negative association with the song using unsettling imagery.
Positive,"THE VIDEO, THE TRANSITIONS, THE SONG, THE VIBES, EVERYTHING 😫🫶🏾🫶🏾💞",Expresses intense enthusiasm and positive feelings across multiple aspects of the video.
Positive,"I think the girls biggest asset is her confidence, she certainly has it and its powerful.",Expresses admiration for the artist's confidence.
Neutral,Ela me lembra a britney spears... passa uma vibe sexy,"Compares the artist to Britney Spears, offering a descriptive observation without strong positive or negative judgment."
Positive,diet pepsy is litterally the best between the three songs srry <3 it's already so nostalgic,Expresses strong nostalgic fondness for the song.
Positive,This song is such a vibe omgg 😩🫶🏼,Expresses enthusiastic enjoyment and positive feelings.
Positive,she gives the vibe of lana del rey!❤ initially she putting her own track Aquamarine!🎀😍,Expresses fondness and positive association with Lana Del Rey.
Neutral,The Born to Die vibes from this is absurd,References a specific song style without expressing a clear positive or negative opinion.
Neutral,Great song! But I really want to know how Pepsi marketers reacted to this cuz Its kind of giving ad-vibe,Expresses appreciation mixed with a curious observation.
Positive,Lana del Rey vibes,Expresses a positive association with Lana Del Rey's style.
Neutral,This is lana delnrey lyrics in Taylor swifts style,"A comparison is made, neither strongly positive nor negative."
Positive,Found this from IG reels and the hook chorus got me. I like this type of music. It's a vibe.,Expresses enjoyment and appreciation for the song's vibe.
Neutral,the lyrics is trash but the melody is really good. Why can't they just write about something other than sex and drugs tho lol.,Expresses criticism of lyrical content while acknowledging a positive musical element.
Neutral,Love the music except the lyrics,Expresses a preference for the music but criticism regarding the lyrics.
Neutral,She gives the vibe of lana and marylin monro,Comparison to two artists without expressing a strong positive or negative opinion.
Positive,So catchy and smooth,Expresses enjoyment of the song's catchiness and smoothness.
Positive,"Such an addictive and catchy song, I love the melody and vibe..... reminds me of a song from the past that I can't quite recall, like a 90's 00's vibe, but with a mix of mebbe something like a song from a medieval tavern sang by some elven lady with her ethereal voice. I heard this one the radio and liked it the instant I heard it. I hope she makes more songs like this one.",Expresses strong enjoyment and desire for more similar music.
Neutral,"Song is good but i wish the music video had better quality and focused more on a certain storyline rather than her body 😅 it looked pretty dark, random, and chaotic compared to the song’s light, ethereal vibe",Expresses a mixed opinion - acknowledging the song's quality while criticizing the music video's visuals and lack of narrative focus.
Negative,This is just a softcore porn video for young kids. ITs been out for months and has never once been listened to by anyone with any clout whatsoever. Like jesus crist I came here off a Ludwig video just because I wanted to see how bad it sounded  and holy shit this did not dissapoint with how bad it was . I cant even make out the lyrics. The video is literally just her grinding on a dude trying to drive a car. Every single thing about this is disgusting and unsafe,"Strongly condemns the video as disturbing, unsafe, and poorly produced."
Positive,PLS THE WAY MY HEAD JUST NATURALLY STARTED BOBBING TO THE BEAT I CAN'TTTTT,Expresses enthusiastic enjoyment of the music's rhythm.
Positive,"Perfect as is but if you listen at 0.75x it gives the song a whole new vibe and also lasts longer lmaooo the reverb is so satisfying in headphones ... this mv is proving addison to be a student of Madonna, Lana, Britney, Gaga.. unafraid to reference or reference put it in a blender..",Expresses strong enjoyment and appreciation for the song's qualities and the director's influence.
Positive,This is like Lana x charli vibes,Compares the music to a positive and well-regarded artist combination.
Positive,This song has a sexy vibe ❤,Expresses a positive and appreciative sentiment regarding the song's 'sexy vibe'.
Positive,Ngl I was a fat ass hater until I heard this at the coffee shop. Catchy af lol,Expresses initial negativity that turned into positive enjoyment.
Negative,"It sucks, that the lyrics are so stupid dumb.",Expresses strong disapproval of the lyrics.
Positive,the beat kinda reminds me of heatwaves but in a good way,Compares the song favorably to a well-regarded track.
Positive,"Seeing addison always made me cringe but this song brings a nostalgic feeling not many pop artists give me. Brings me back to my teenage years in the early 2000s. I know ""losing all my innocence in the back seat"" is a different meaning in this song but i did all kinds of crazy things in the back seat of my friends cars losing my innocents in all sorts of different ways. This song has me reminiscing, I'm glad to be where i am now bc of those times and hearing this song today has me feeling some type of way. 🥵",Expresses nostalgic fondness and positive emotions associated with memories.
Negative,Such a beautiful song and such a disgustingly awful video,Expresses both positive sentiment towards the music and strong negative criticism of the video.
Neutral,I hope this doesn’t come across as creepy lol but her body is so pretty! The chorus is angelic.,Contains a compliment alongside a positive observation about the music.
Negative,Autotuned to hell..,Expresses strong disapproval of excessive autotune.
Positive,"Love the black and white music video, Diet Pepsi is great, love the old car and her pin up outfits/ sunglasses! And the guy is so handsome, love the beat change towards the end! 😍🥰😘👑💎🏆⚜️📺🎬🎥🩶🤍🖤👌🏻 🎵 🎶 😎 📝",Expresses enthusiastic enjoyment of various aspects of the video.
Negative,"What a great melody and tune, completely ruined by the crass commercialisation that renders it nothing more than an advert for Pepsi. Great waste of a tune. No credible artist would do this.",Criticizes the song for being overly commercial and lacking artistic integrity.
Positive,It's catchy well written well crafted well produced,Expresses strong positive attributes of the song.
Neutral,The song:❤ the video: 💀 the lyrics: 😁,Mixed reactions expressed through emojis without further explanation.
